no,sentence,n(list),v(list)
1,Once upon a time there was a little boy who had a rock. The rock was his favorite toy.,"a time,a little boy,a rock,there,the rock, his favorite toy","was, had, was"
2,"He would throw his rock at trees, or roll his rock down hills.","He, his rock, trees,hills,his rock","would throw, roll"
3,"Sometimes he would stand at the river shore, dropping his rock in the water.","he, the river shore,his rock,the water","would stand,dropping"
4,"He thought it was great fun to listen to the rock splash.One day, the little boy met a brown cow."," He, it,great fun,the rock splash,one day, the little boy,a brown cow","thought,was,listen, met"
5,The boy tried to pull open the cow's mouth,"the boy, the cow's mouth","tried,pull ,open"
6,Tammy was a purple tiger. She was friends with Bobby the blue bird.,"Tammy,a purple tiger,she,friends,bobby,the blue bird","was, was"
7,They were hungry so they went to the store together. At the store they saw some friends.,"They, the store ,they, the store, some friends","were, went"
8,They saw Pat the pink panther. They also saw Roger the red rabbit. Pat bought potatoes and eggs,"they,pat,the pink panther,They, Roger,the red rabbit, Pat, potatoes,eggs","saw, saw, bought"
9,Roger bought carrots and celery. Tammy bought some salad. Tammy also bought a pizza.,"Roger, carrots, celery, Tammy, some salad, Tammy,a pizza","bought, bought, bought"
10,Bobby bought seeds. They all wanted to eat dinner.,"Bobby,seeds,they all, dinner","bought, wanted, eat"
11,They went back to Tammy's house to have supper. Tammy ate salad and seeds.,"They,Tammy's house,supper,salads,seeds","went,have, ate"
12,Roger ate carrots and celery. Bobby ate potatoes. Pat ate eggs and carrots.,"Roger ,carrots ,celery, Bobby,potatoes, Pat ,eggs,carrots",ate
13,"Tammy was still hungry, so she ate some pizza too. They were all very full. They took a nap.","Tammy ,she, some pizza,They,all,They,a nap","was,ate, were, took"
14,After they woke up they played some games. Everyone had fun at Tammy's house. It got late and everyone went home.,"they, they, some games,everyone,fun,Tammy's house,it,everyone, home","woke,played, had, got, went"
15,"Tammy was pleased with how it turned out. One day Mary took a walk to the park.
","Tammy,out,,it, one day, Mary,a walk, the park","was pleased, turned,took"
16,The park was very close to her house. One her way to the park she passed her friend Kim's house.,"The park,her house, her way, the park,she,her friend,Kim's house","was, passed, "
17,Mary stopped by and asked if Kim wanted to play. Kim said yes. Mary and Kim walked together to the park.,"Mary,Kim,the park, Mary, Kim, the park","stopped,asked,wanted,play, walked,"
18,John's house was three houses down. Mary and Kim stopped by to ask John if he wanted to play at the park.,"John's house ,three houses, Mary,Kim ,John,he, the park","was, stopped, ask, wanted, play"
19,He was afraid of being chased by a squirrel,"He, a squirrel","was,being,chased"
20,"Mary worried that John did not like her, but John thought she was a good friend.","Mary ,John,her,John ,she, a good friend","worried, did not like, thought, was"
21,"So Mary and Kim went to the park to play. They loved the park. They loved the flowers, and the swings! Soon it was dinnertime and the girls went home","Mary, Kim, the park, They,  the park, they,the flowers,the swings,it, dinnertime, the girls,the park,they, home","went,play, loved, loved, was, went"
22,Johnny and his class were looking forward to a fun day in art class.,"Jhonny,his class,a fun day, art class","were,looking"
23,"The teacher gave the class paint, brushes and other items to use to make their drawings. ","The teacher,the class paint,brushes,other items, their drawings","gave,use,make"
24,Johnny's friend Kevin used a straw to blow paint on his paper. It looked very cool.,"Johnny's friend,Kevin,a straw,paint,his paper,It","used,blow, looked"
25,Lisa used markers to make a picture of her and her dog.,"Lisa,markers,a picture,her,her dog","used,make"
26,Tony used a potato to make stars. He then put the potato into different colors of paint and made a nice pattern.,"Tony,a potato,stars,He,the potato,different colors,paint,a nice pattern","used,make, put, made"
27,"Johnny used feathers to make his picture. When they had finished, the class chose which picture was the best.","Johnny,feathers,his picture,they,the class,which picture","used,make, had finished,was"
28,Johnny got second place and was very excited. Then it was time for lunch and the class had a party.,"Johnny, second place,it, time,lunch,the class,a party","got,was, excited, was, had"
29,They had hamburgers with ketchup and had cake for dessert. It was a very fun day for the whole class.,"They,hamburgers,ketchup,cake,dessert,It,a very fun day, the whole class","had,had, was"
30,They all went home tired and happy. Johnny took a nap when he went home.,"They, home, johnny,a nap,he, home","went, tired, took, went "
31,There once was a guy named Kevin and girl named Erin.,"a guy,Kevin,girl,Erin","was, named"
32,"They really liked spending time together.  One day, Kevin traveled from his home in the United States of America to Erin's house in England.","They,time,One day, Kevin,his home,the United States,America,Erin's house,England","liked, spending , traveled"
33,They then thought to take a sudden trip around the world.,"They, a sudden trip,the world","thought,take"
34,"They first traveled by plane around Europe, where they saw many different people and sights.","They, plane, Europe, they,many different people,sights","traveled,saw"
35," They then took a boat to Africa and Asia, where they went on a trip through the mountains","They, a boat,Africa, Asia,they,a trip, the mountain","took,went"
36," Later in the month, they traveled to China by train and were allowed to see how different life was over there.","the month, they,China,train, different life","traveled, were, allowed, see, was"
37,"Next they took another plane to Australia, where they had a lot of fun seeing kangaroos and a different type of English speaking people","they, another plane,Australia, they,a lot,fun,kangaroos,a different type,English speaking people","took,had,seeing"
38,"After spending a week in Australia, Kevin and Erin took a really long plane ride to North America, where they drove across the land","a week,Australia,Kevin,Erin ,a really long plane ride,North America,they,the land","spending,drove,took, ride, drove"
39,They saw everything from the mountains to forests.,"They, everything, the mountains,forests",saw
40,They were playing a game of tag and having the best time ever running after each other and laughing.,"They, a game,tag, the best time","were, playing, having, running,laughing"
41,.They liked to play tag instead of building sandcastles or swinging. They liked tag because they liked to run.,"They, tag, sandcastles, They, tag, they
","liked, play, building, swinging, liked, liked, run"
