no,sentence,n(list),v(list)
1,"After gametes fuse and form a diploid zygote, meiosis occurs without a multicellular diploid offspring developing.","gametes, a diploid zygote, meiosis,a multicellular diploid offspring developing","fuse, form, occurs, offspring,devloping"
2,Meiosis produces not gametes but haploid cells that then divide by mitosis and give rise to either unicellular descendants or a haploid multicellular adult organism,"Meiosis, not gametes,haploid, cells, that,mitosis,rise,either unicellular descendants,a haploid multicellular adult organism
","produces, divide,give"
3,"Subsequently, the haploid organism carries out further mitoses, producing the cells that develop into gametes.","the haploid organism, further mitoses, the cells, that,  gametes","carries, producing, develop"
4,"During meiosis, homologous chromosomes, one inherited from each parent, trade some of their alleles by crossing over.","meiosis, homologous chromosomes,each parent, trade, some, their alleles","inherited, trade, crossing"
5,These homologous chromosomes and the alleles they carry are then distributed at random into gametes.,"These homologous chromosomes, the alleles, they, gametes","carry, are , distributed"
6,"Then, because myriad possible mating combinations exist in a population, fertilization brings together gametes that are likely to have different genetic  backgrounds.","myriad possible mating combinations', 'a population', 'fertilization', 'gametes', 'that', 'different genetic  backgrounds
","exist, brings, are, have"
7,"The combined effects of these three mechanisms ensure that sexual reproduction rearranges existing alleles into fresh combinations each generation,  providing much of the genetic variation that makes evolution possible.","The combined effects, these three mechanisms,  sexual reproduction, existing alleles, fresh combinations each generation, the genetic variation, that,evolution
","ensure, rearranges ,existing, providing, makes"
8,"During cellular respiration, energy is released from sugar when electrons associated  with hydrogen are transported by carriers to oxygen, forming water as a by-product .'","cellular respiration, energy , sugar, electrons, hydrogen, carriers,water, a by-product
","is ,released, associated, are, transported,oxygen, forming.
"
9,"The electrons lose potential energy as they fall down  the electron transport chain toward electronegative oxygen, and the mitochondrion harnesses that energy to synthesize ATP .","The electrons, potential energy, they, the electron transport chain, electronegative oxygen, the mitochondrion harnesses,that energy,  ATP.
","lose,harnesses, synthesize,  fall."
10,Photosynthesis reverses the direction of electron flow.,"Photosynthesis, the direction, electron flow",reverses
11,"Water is split, and electrons are transferred along with hydrogen ions from the water to carbon dioxide, reducing it to sugar.","Water, electrons, hydrogen ions, the water, carbon dioxide, it, sugar
","is ,split, are ,transferred,  reducing."
12,"When a molecule absorbs a photon of light, one of the molecule's electrons is elevated to an orbital where it has more potential energy.","a molecule, a photon, light, the molecule's electrons, an orbital, it, more potential energy
","is,is ,elevated,has"
13,"When the electron is in its normal orbital, the pigment molecule is said to be in its ground state.","the electron, its normal orbital, the pigment molecule, its ground state
","is ,said,be"
14,"Absorption of a photon boosts an electron to an orbital of higher energy, and the pigment molecule is then said to be in an excited state.","Absorption, a photon, an electron, an orbital, higher energy, the pigment molecule, an excited state
","boosts, is , said, be"
15,"The only photons absorbed are those whose energy  is exactly equal to the energy difference between the ground state and an excited state, and this energy difference varies from one kind of molecule to another.","The only photons, those, the energy difference, energy, the ground state, an excited state, this energy difference, one kind, molecule,another
","absorbed, are, is , varies."
