no,sentence,n(list),v(list)
1,"There are six main nutrients in our food : Carbohydrates, fats, proteins, fibre, vitamins and minerals.","There, six main nutrients, our food,Carbohydrates, fats, proteins, fibre, vitamins , minerals",are
2,These nutrients are present in the different food items we eat in differing proportions,"These nutrients, the different food items, we,   differing proportions","are present, eat"
3,Our main need is of energy.,"Our main need , energy",is
4,Let us learn more about some of them," us, some , them","let, learn"
5,It is fulfilled by carbohydrates,"It , carbohydrates",is fulfilled
6,"Hence, our diet includes a large proportion of cereals in the form of rice, chapatti or roti, bhakri and bread which contain carbohydrates"," our diet , a large proportion , cereals, the form , rice, chapatti , roti, bhakri ,bread, which,  carbohydrates","includes, contain"
7,"Proteins We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes.","Proteins, we , the purposes,growth, the wear, tear, the body, other life processes","need, repairing"
8,"We get proteins from the sprouts, milk and milk products, meat and eggs in our food.","We, proteins, the sprouts, milk, milk products, meat, eggs, our food",get
9,"Some part of our energy requirement is also fulfilled by fatty foods such as oil, ghee and butter.","Some part, our energy requirement, fatty foods, oil, ghee, butter",is also fulfilled
10,We get energy in the form of heat from the food we eat.,"we, energy, the form, heat, the food, we","get, eat"
11,Heat is measured in kilocalories,"Heat , Kilocalories",is measured
12,"Hence, the energy in food items is also measured in kilocalories (Calories).","the energy,food items, kilocalories",is measured
13,"Minerals and vitamins To improve the body's resistance to disease and for other life processes the body needs vitamins, minerals and fibre in the diet.","Minerals, vitamins, the body's resistance, disease, other life processes, the body, vitamins, minerals, fibre, the diet","improve, s, disease, processes, needs"
14,We obtain these nutrients mainly from vegetables and fruits.,"we, these nutrients ,vegetables ,fruits",obtain
15,"We require vitamins and minerals in small quantities, but their deficiency can lead to various diseases.","We, vitamins, minerals, small quantities, their deficiency, various diseases","require, can lead"
16,Let us learn more about them.,"us, them ","let , learn"
17,The body needs several inorganic substances.,"The body, several inorganic substances",needs
18,"The table below gives examples of some minerals and provides information about their functions in the body, the various sources of the minerals as well as the diseases caused by their deficiency.","The table, examples, some minerals, information, their functions, the body, the various sources, the  minerals, well, the  diseases, their deficiency","gives, provides, caused"
19,Calcium and phosphorous is a mineral which strengthen bones and teeth.,"Calcium, phosphorous,a mineral, which, bones, teeth","is, strengthen"
20,"We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes.","We, proteins, the purposes, growth, the wear, tear, the body, other life processes","need, repairing"
21,"We get proteins from the sprouts, milk and milk products, meat and eggs in our food.","We, proteins, the sprouts, milk, milk products, meat, eggs, our food",get
22,"To improve the body's  resistance to disease and for other life processes the bodyneeds vitamins, minerals and fibre in the diet.","the body's resistance, disease, other life, the body, vitamins, minerals, fibre, the diet","improve, disease, processes"
23,We obtain these nutrients mainly from vegetables and fruits.,"We, these nutrients, vegetables, fruits",obtain
24,Our main need is of energy.,"Our main need , energy",is
25,It is fulfilled by carbohydrates.,"It , carbohydrates",is fulfilled
26,"Hence, our diet includes a large proportion of cereals in the form of rice, chapatti or roti, bhakri and bread which contain carbohydrates.","our  diet, a large proportion, cereals, the form, rice, chapatti, roti, bhakri, bread, which, carbohydrates","includes, contain"
27,Cereals are our staple food.,"Cereals, our staple food",are 
28,Starch turns blackish blue when it comes in contact with iodine.,"Starch, blackish blue, it, contact, iodine","turns, comes"
29,So we can infer that there is starch in the potato.,"we , starch, the potato","can infer,is "
30,Sago and sweet potato also contain starch.,"sago ,sweet potato ,starch",contain
31,"Cereals like jowar, bajra, wheat, rice contain a lot of starch.","Cereals, jowar, bajra, wheat, rice, a lot, starch",contain
32,We obtain flour from these grains.,"We ,flour,these grains ",obtain
33,These grains form our staple diet.,"These grains, our staple diet",form
34,We get energy from starchy foods.,"we, energy, starchy food ",get
35,Food-stuffs that taste sweet contain different kinds of sugars.,"Food-stuffs, that, different kinds, sugars","taste, contain"
36,"For example , we can get jiggery and table sugar from sugarcane because it contains a sugar called sucrose.","example, we, jiggery, table sugar, sugarcane, it, a sugar, sucrose","can ,get, cotains , called"
37,"Ripe fruits like mango, banana, chickoo as also honey and milk also contain various kinds of sugars.","Ripe fruits , mango, banana, chickoo, honey, milk, various kinds, sugars",contain
38,"They, too, give us energy.","they, us, energy",gives.
39,Plants make their own food in sunlight.,"Plants, their own food, sunlight",make
40,"Plants produce food from water, nutrients in the soil and the carbon dioxide present in the air.","Plants, food, water, nutrients, the soil, the carbon dioxide, the air","produce, present"
41,This process takes place in the leaves of plants.,"This process, place, the leaves, plants",takes
42,"It is brought about in the presence of sunlight, with the help of the chlorophyll in the leaves.","It, the presence, sunlight, the help, the chlorophyll, the leaves",is brought 
43,This process of food production is called photosynthesis.,"This process, food production, photosynthesis",is called
44,"During this process, plants give out oxygen.","this process, plants, oxygen",gives
45,Living things are made of small units called cells.,"Living things, small units, cells","are , made, called"
46,All the actions and processes in the bodies of living things are brought about with the help of these microscopic cells.,"All the actions, processes, the bodies, living things, the help, these microscopic cells",are brought
47,"Animals such as snails, cockroaches, earthworms do not have a vertebral column and therefore they are invertebrate animals.","Animals, snails, cockroaches, earthworms, a vertebral column, they, invertebrate animals","do not have , are"
48,They are called minerals.,"They, minerals",are called
49,Plants appear mainly green in colour due to the chlorophyll in them.,"Plants, colour, the chlorophyll, them",appear mainly
50,Living things are made of small units called cells,"Living things, small units, cells","are made, called"
51,All the actions and processes in the bodies of living things are brought about with the help of these microscopic cells.,"All the actions, processes, the bodies, living things, the help, these microscopic cells",are brought
52,Some living things are made of a single cell .,"Some living things, a single cell",are made
53,These are called unicellular organisms.,"These, unicellular organisms",are called
54,"On the other hand, the living things that are made of many cells are called multicellular organisms.","the other hand, the living things, that, many cells, multicellular organisms","are made, are called"
55,"The amoeba and some other microorganisms are unicellular while man, cow, mouse, cockroach, elephants, banyan tree, the onion plant, etc. are all multicellular organisms.","The amoeba, some other microorganisms, unicellular, man, cow, mouse, cockroach, elephants, banyan tree, the onion plant, multicellular organisms",are
56,"All the characteristics of living things are seen in every cell of a living thing, whether it is unicellular or multicellular","All the characteristics, living things, every cell, a living thing, it, unicellular, mukticellular","are seen, is"
57,A cellular structure Do you know?,"A cellular structure, you",know
58,The lifespan of the giant turtle found on the Galapagos Island in South America is about 170 years.,"The lifespan, the giant turtle, the Galapagos Island, South America, about 170 years","found, is "
59,"On the other hand, the lifespan of the mayfly ranges from 1 hour to 24 hours.","the other hand, the lifespan, the mayfly 1 hour, 24 hours",ranges
60,Living things are made of small units called cells.,"Living things, small units, cells","are made, called"
61,All the actions and processes in the bodies of living things are brought about with the help of these microscopic cells.,"All the actions, processes, the bodies, living things, the help, these microscopic cells","are, brought"
62,Some living things are made of a single cell.,"Some living things, a single cell",are made
63,These are called unicellular organisms.,"These, unicellular organisms",are called
64,"On the other hand, the living things that are made of many cells are called multicellular organisms","the other hand, the living things, that, many cells, multicellular organisms","are made, are called"
65,"The amoeba and some other microorganisms are unicellular while man, cow, mouse, cockroach, elephants, banyan tree, the onion plant, etc. are all multicellular organisms.","The amoeba, some other microorganisms, unicellular, man, cow, mouse, cockroach, elephants, banyan tree, the onion plant, all multicellular organisms",are
66,"All the characteristics of living things are seen in every cell of a living thing, whether it is unicellular or multicellular.","All the characteristics, living things, every cell, a living thing, it, unicellular, multicellular","are seen, is"
67,Waste substances are formed during the many processes that take place in the bodies of animals.,"Waste substances, the many processes, that, place, the bodies, animals","are formed, processes, take"
68,These are called excreta and the process of eliminating them from the body is called excretion.,"These, excreta, the process, them, the body, excretion.","are called, eliminating, is called"
69,Animals have specific organs for excretion.,"Animals, specific organs, excretion",have
70,"Plants, too, excrete",plants,excrete
71,"For example, some plants shed leaves in a specific season","example, some plants, leaves, a specific season",shed
72,Waste substances stored in the leaves of plants are shed along with the leaves.,"Waste substances, the leaves, plants, the leaves","stored, are shed"
73,Reproduction Living things produce other living things like themselves.,"Reproduction, Living things, other living things, themselves","living, produce"
74,Some animals give birth to their young ones.,"Some animals, birth, their young ones",give
75,Their young ones hatch out of the eggs .,"Their young ones,the eggs",hatch
76,"New plants are produced from the seeds, stems or leaves of plants.","New plants, the seeds, stems, leaves, plants","are produced, stems"
77,The process by which a living thing generates a new living thing like itself is called reproduction or procreation.,"The process, which, a living thing, a new living thing, itself, reproduction, procreation","generates, is called"
78,"At a certain stage of life, living things become capable of reproduction.","a certain stage, life, living things, reproduction","living, become"
79,Why have so many types of plants and animals been able to survive on the earth even today ?.,"so many types, plants, animals,the earth","have , been, survive"
80,A mare and her foal Reproduction is a characteristic of living things.,"A mare, her foal Reproduction, a characteristic, living things",is
81,"At a certain stage of life, living things become capable of reproduction.","a certain stage, life, living things, reproduction","living, become"
82,"Later on in life reproduction stage, their organs become weak and still later, their life comes to an end.","life reproduction stage, their organs, their life, an end","become,comes"
83,"In other words, living things die.","other words, living things",die
84,The lifespans of different animals and plants are different.,"The lifespans, different animals, plants",are 
85,"For example, the lifespan of the dog is about 12 to 18 years, while the ostrich lives for 50 years.","example, the lifespan, the dog, about 12 to 18 years, the ostrich lives, 50 years","is about, lives"
86,"You may have wondered what exactly the living things are, how they came into being, a We have learnt that producing another living thing like oneself is called reproduction.","You, what, the living things, they, being, We, another living thing, oneself, reproduction","may have wondered, are, came, being, have learnt, producing, living, is called"
87,A hen lays eggs and hatches them.,"A hen, eggs, them ","lays, hatches"
88,"After a few days, the young chicks hatch out of the eggs.","a few days, the young chicks, the eggs",hatch
89,A cow gives birth to a calf.,"A cow, birth, a calf",gives
90,"Before that, the calf grows within the cows body.","that, the calf, the cows body",grows
91,"According to the mode of reproduction, animals are classified into two types, namely, oviparous animals which lay eggs and viviparous animals which give birth to their young ones","the mode, reproduction, animals, two types, namely, oviparous animals, which, eggs, viviparous animals, which, birth, their young ones","According, are classified, lay, give"
92,Some plants grow close to the ground,"Some plants, the ground",grow 
93,They give out branches very close to the ground.,"They , branches, the ground ",give
94,"They are shorter and smaller than trees, but they have a thick and hard stem.","They, trees, they, a thick and hard stem","are ,have"
95,"The oleander, hibiscus, lantana, koranti and rose are shrubs that may grow up to two to three metres.","The oleander, hibiscus, lantana, koranti, rose, shrubs, that, two to three metres","are, may grow"
96,Herbs grow 1 to 1.5 metres tall.,"Herbs, 1 to 1.5 metres.",grow
97,The stems of herbs are green and quite flexible as compared to those of trees and bushes.,"The stems, herbs, those, trees, bushes","are, compared"
98,Herbs may live for a few months or up to two years.,"Herbs, a few months,  two years",may live
99,"Have you seen vines like the pumpkin, the railroad creeper,kavali, watermelon or the grapevine","you, vines, the pumpkin, the railroad creeper, kavali, watermelon, the grapevine","Have, seen"
100,"The lifecycle of plants like jowar, sunflower is completed in one year.","The lifecycle, plants, jowar, sunflower, one year",is completed
101,These plants are called annuals.,"These plants, annuals",are called
102,"The lifecycle of plants like the carrot, beetroot is of two years.","The lifecycle, plants, the carrot, beetroot, two years",is
103,They are called biennials.,"They, biennials",are called
104,Shrubs like the hibiscus and oleander and trees like mango and gulmohur live for several years and bear flowers and fruit.,"Shrubs, the hibiscus, oleander, trees, mango, gulmohur, several years, flowers, fruit","live, bear"
105,They are called perennials .,"They , perennials",are called
106,"According to the period of their lifecycle, plants are classified as annuals, biennials, perennials.","the period, their lifecycle, plants, annuals, biennials, perennials","According, are classified"
107,Some plants grow tall.,Some plants,grow
108,"Their stem, or trunk, is hard and strong.","Their stem, trunk",is
109,They have branches at some height above the ground.,"They, branches, some height, the ground",have
110,They bear flowers and fruit for many years .,"They, flowers, fruit, many years",bear
111,Such plants are called trees.,"Such plants, trees",are called
112,"Trees are tall, big and perennial, i.e., they live for many years.","Trees, they, many years","are, live"
113,"Even when a piece of a metal is heated at one place, the whole of it becomes hot.","a piece, a metal, one place, the whole, it","is heated, becomes"
114,It shows that metals allow heat to flow through them.,"It, metals, heat, them","shows,allow , flow"
115,This property is called thermal conductivity.,"This property, thermal conductivity",is called
116,"Delicate articles, perishable fruits, etc. require packing.","Delicate articles, perishable fruits, packing",require
117,"To pack TV sets, refrigerators, etc. big cartons and thermocol are being used.","TV sets, refrigerators,  big cartons, thermocol","pack, are being used"
118,All these are man-made substances.,"All these, man-made substances",are
119,"These substances are water proof or water resistant, lightweight and easy to transport.","These substances, water proof, water resistant, ","are, transport"
120,"That is why, they are being used increasingly.","That , they","is, are being used "
121,New Topic biodiversity in evaluation Every living thing gets its food from the environment.,"New Topic biodiversity, evaluation, Every living thing, its food, the environment",gets
122,Many animals in the environment eat only plants.,"Many animals, the environment,  plants",nan
123,Other animals eat the animals that live on plants.,"Other animals, the animals, that, plants","eat,live"
124,But plants make their own food in the presence of sunlight using water and the carbon dioxide from the air.,"plants, their own food, the presence, sunlight, water, the carbon dioxide, the air","make,using"
125,It means that plants are the main support of every food chain.,"It, plants, the main support, every food chain","means, are"
126,Every living thing gets its food from the environment.,"Every living thing, its food, the environment",gets
127,Many animals in the environment eat only plants.,"Many animals, the environment,  plants",eat
